ID;Helicity;uH;NCPR;Length;Total contacts;Type
NEG_NCPR_082;0.2;0.2;0;18;0.2;Negative
NEG_NCPR_083;0.1;0.06;-0.03;26;0.19;Negative
NEG_NCPR_084;0.3;0.16;-0.09;21;0.14;Negative
NEG_NCPR_085;1.5;0.15;-0.23;22;0.19;Negative
NEG_NCPR_086;0.7;0.26;-0.05;19;0.38;Negative
NEG_NCPR_087;0.4;0.07;0;42;1.4;Negative
NEG_NCPR_088;0;0.29;0;18;0.36;Negative
NEG_NCPR_089;0.5;0.35;-0.16;18;0.16;Negative
NEG_NCPR_090;0.8;0.28;0;33;4.25;Negative
NEG_NCPR_091;0.3;0.24;0;32;1.08;Negative
NEG_NCPR_092;0.1;0.22;0;43;2.77;Negative
NEG_NCPR_093;0.2;0.23;0;42;1.89;Negative
NEG_NCPR_094;3.8;0.24;0;22;0.32;Negative
NEG_NCPR_095;0.4;0.16;0;38;9.41;Negative
NEG_NCPR_096;0.2;0.08;-0.1;20;0.16;Negative
NEG_NCPR_097;0.1;0.04;-0.1;30;0.28;Negative
NEG_NCPR_098;0.2;0.15;-0.1;21;0.23;Negative
NEG_NCPR_099;0.8;0.13;-0.1;50;0.13;Negative
NEG_NCPR_100;0.2;0.18;0;37;2.08;Negative
NEG_NCPR_101;0.3;0.13;0;27;1.26;Negative
NEG_NCPR_102;0.1;0.21;-0.21;19;0.21;Negative
NEG_NCPR_103;0.4;0.09;-0.1;52;0.21;Negative
NEG_NCPR_104;0.4;0.11;-0.1;42;0.41;Negative
NEG_NCPR_105;0.3;0.22;-0.3;20;0.49;Negative
